Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags, Fwd Header Length, Bwd Header Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count,PSH_Flag_Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio,Average_Packet_Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label,Target
80,33643,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,345599.3817,237.7909223,4806.142857,12356.47489,32827,4,32986,16493,23318.96743,32982,4,33488,8372,16359.01635,32910,62,0,0,0,0,72,112,89.17159587,148.6193265,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,11326939,5,0,30,0,6,6,6,0,0,0,0,0,2.648553153,0.441425525,2831734.75,5660822.969,11300000,2,11300000,2831734.75,5660822.969,11300000,2,0,0,0,0,0,0,0,0,0,100,0,0.441425525,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3970,0,3970,3970,11300000,0,11300000,11300000,DDoS,1
80,3225962,4,0,24,0,6,6,6,0,0,0,0,0,7.43964126,1.23994021,1075320.667,1854713.929,3216956,991,3225962,1075320.667,1854713.929,3216956,991,0,0,0,0,0,0,0,0,0,80,0,1.23994021,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,1
80,148739,3,5,363,11595,363,0,121,209.5781477,5792,0,2319,3170.403917,80395.86121,53.78549002,21248.42857,50864.11587,136240,26,12057,6028.5,7088.745481,11041,1016,148696,37174,66279.12046,136240,159,0,0,0,0,104,168,20.16955876,33.61593126,0,5792,1328.666667,2533.234642,6417277.75,0,0,0,1,0,0,0,0,1,1494.75,121,2319,104,0,0,0,0,0,0,3,363,5,11595,29200,235,1,32,0,0,0,0,0,0,0,0,DoS Hulk,1
80,700948,3,5,26,11607,20,0,8.666666667,10.26320288,8760,0,2321.4,3802.315321,16596.09557,11.41311481,100135.4286,264510.2181,699988,2,702,351,490.7321061,698,4,700897,175224.25,349842.6319,699988,2,0,0,0,0,72,112,4.279918054,7.133196756,0,8760,1292.555556,2952.520834,8717379.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,2925863,4,0,24,0,6,6,6,0,0,0,0,0,8.202708056,1.367118009,975287.6667,1688370.515,2924850,337,2925863,975287.6667,1688370.515,2924850,337,0,0,0,0,0,0,0,0,0,80,0,1.367118009,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,1
80,1000802,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,11623.67781,7.993589142,142971.7143,377769.4342,999672,2,894,447,629.3250353,892,2,1000753,250188.25,499655.9954,999672,5,0,0,0,0,72,112,2.997595928,4.995993213,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,599990,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,19388.65648,11.66686111,99998.33333,244519.7369,599122,45,648,324,384.666089,596,52,599945,199981.6667,345665.7591,599122,161,0,0,0,0,72,92,5.000083335,6.66677778,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,98303093,6,8,367,11595,349,0,61.16666667,141.0395925,4344,0,1449.375,1729.380148,121.6848792,0.142416679,7561776.385,27300000,98300000,49,98300000,19700000,44000000,98300000,189,98300000,14000000,37200000,98300000,49,0,0,0,0,164,264,0.061035719,0.081380959,0,4344,797.8666667,1422.117881,2022419.267,1,0,0,0,0,0,0,0,1,854.8571429,61.16666667,1449.375,164,0,0,0,0,0,0,6,367,8,11595,0,235,3,20,10997,0,10997,10997,98300000,0,98300000,98300000,DoS Hulk,1
80,8793763,5,0,30,0,6,6,6,0,0,0,0,0,3.411508816,0.568584803,2198440.75,4396210.192,8792756,1,8793763,2198440.75,4396210.192,8792756,1,0,0,0,0,0,0,0,0,0,100,0,0.568584803,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1007,0,1007,1007,8792756,0,8792756,8792756,DDoS,1
80,712527,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,16317.97813,9.824189118,118754.5,285452.7071,701372,18,10865,5432.5,7117.029753,10465,400,712509,237503,401758.4355,701372,183,0,0,0,0,72,92,4.210366765,5.613822353,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,72381,3,6,26,11601,20,0,8.666666667,10.26320288,2920,0,1933.5,1495.722401,160636.0785,124.3420235,9047.625,21287.68925,60891,2,10990,5495,7768.275098,10988,2,72312,14462.4,26392.57378,60891,29,0,0,0,0,72,132,41.44734115,82.89468231,0,2920,1162.7,1494.366611,2233131.567,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,926332,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,12558.13251,8.636212503,132333.1429,349315.6504,924506,4,1398,699,759.432683,1236,162,926328,231582,461949.8034,924506,51,0,0,0,0,72,112,3.238579688,5.397632814,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
80,84317313,5,7,421,11595,409,0,84.2,181.5935021,4344,0,1656.428571,1760.597234,142.5092851,0.142319526,7665210.273,25400000,84200000,12,84200000,21000000,42100000,84200000,994,84300000,14100000,34400000,84200000,15,0,0,0,0,144,232,0.059299802,0.083019723,0,4344,924.7692308,1495.947813,2237859.859,1,0,0,0,0,0,0,0,1,1001.833333,84.2,1656.428571,144,0,0,0,0,0,0,5,421,7,11595,0,235,2,20,10000,0,10000,10000,84200000,0,84200000,84200000,DoS Hulk,1
80,72153909,8,5,56,11607,20,0,7,5.656854249,10220,0,2321.4,4455.182578,161.6405842,0.180170419,6012825.75,19400000,67400000,2,71300000,10200000,25300000,67400000,4,896685,224171.25,447735.9383,895775,2,0,0,0,0,172,112,0.110874104,0.069296315,0,10220,833.5,2726.136143,7431818.269,0,0,0,0,1,0,0,0,0,897.6153846,7,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,3853356,0,3853356,3853356,67400000,0,67400000,67400000,DDoS,1
80,1293792,3,7,26,11607,20,0,8.666666667,10.26320288,5840,0,1658.142857,2137.29708,8991.398927,7.72921768,143754.6667,430865.8067,1292730,2,747,373.5,523.9661249,744,3,1293746,215624.3333,527671.9348,1292730,2,0,0,0,0,72,152,2.318765304,5.410452376,0,5840,1057.545455,1853.437529,3435230.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667,1658.142857,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,1
